"Index","time","value"
1,2014-07-01 00:00:00,0
2,2014-07-01 00:05:00,0
3,2014-07-01 00:10:00,0
4,2014-07-01 00:15:00,0
5,2014-07-01 00:20:00,0
6,2014-07-01 00:25:00,0
7,2014-07-01 00:30:00,0
8,2014-07-01 00:35:00,0
9,2014-07-01 00:40:00,0
10,2014-07-01 00:45:00,0
11,2014-07-01 00:50:00,2
12,2014-07-01 00:55:00,0
13,2014-07-01 01:00:00,0
14,2014-07-01 01:05:00,10
15,2014-07-01 01:10:00,29
16,2014-07-01 01:15:00,3
17,2014-07-01 01:20:00,0
18,2014-07-01 01:25:00,0
19,2014-07-01 01:30:00,0
20,2014-07-01 01:35:00,0
21,2014-07-01 01:40:00,0
22,2014-07-01 01:45:00,0
23,2014-07-01 01:50:00,0
24,2014-07-01 01:55:00,0
25,2014-07-01 02:00:00,0
26,2014-07-01 02:05:00,11
27,2014-07-01 02:10:00,0
28,2014-07-01 02:15:00,0
29,2014-07-01 02:20:00,5
30,2014-07-01 02:25:00,0
31,2014-07-01 02:30:00,0
32,2014-07-01 02:35:00,1
33,2014-07-01 02:40:00,0
34,2014-07-01 02:45:00,0
35,2014-07-01 02:50:00,0
36,2014-07-01 02:55:00,0
37,2014-07-01 03:00:00,0
38,2014-07-01 03:05:00,0
39,2014-07-01 03:10:00,0
40,2014-07-01 03:15:00,0
41,2014-07-01 03:20:00,0
42,2014-07-01 03:25:00,0
43,2014-07-01 03:30:00,0
44,2014-07-01 03:35:00,0
45,2014-07-01 03:40:00,0
46,2014-07-01 03:45:00,0
47,2014-07-01 03:50:00,0
48,2014-07-01 03:55:00,0
49,2014-07-01 04:00:00,0
50,2014-07-01 04:05:00,0
51,2014-07-01 04:10:00,0
52,2014-07-01 04:15:00,0
53,2014-07-01 04:20:00,0
54,2014-07-01 04:25:00,0
55,2014-07-01 04:30:00,0
56,2014-07-01 04:35:00,0
57,2014-07-01 04:40:00,0
58,2014-07-01 04:45:00,8
59,2014-07-01 04:50:00,0
60,2014-07-01 04:55:00,0
61,2014-07-01 05:00:00,0
62,2014-07-01 05:05:00,5
63,2014-07-01 05:10:00,6
64,2014-07-01 05:15:00,1
65,2014-07-01 05:20:00,0
66,2014-07-01 05:25:00,11
67,2014-07-01 05:30:00,0
68,2014-07-01 05:35:00,6
69,2014-07-01 05:40:00,0
70,2014-07-01 05:45:00,0
71,2014-07-01 05:50:00,0
72,2014-07-01 05:55:00,1
73,2014-07-01 06:00:00,0
74,2014-07-01 06:05:00,0
75,2014-07-01 06:10:00,0
76,2014-07-01 06:15:00,0
77,2014-07-01 06:20:00,0
78,2014-07-01 06:25:00,0
79,2014-07-01 06:30:00,4
80,2014-07-01 06:35:00,0
81,2014-07-01 06:40:00,0
82,2014-07-01 06:45:00,0
83,2014-07-01 06:50:00,0
84,2014-07-01 06:55:00,0
85,2014-07-01 07:00:00,0
86,2014-07-01 07:05:00,3
87,2014-07-01 07:10:00,0
88,2014-07-01 07:15:00,4
89,2014-07-01 07:20:00,3
90,2014-07-01 07:25:00,0
91,2014-07-01 07:30:00,3
92,2014-07-01 07:35:00,0
93,2014-07-01 07:40:00,0
94,2014-07-01 07:45:00,11
95,2014-07-01 07:50:00,1
96,2014-07-01 07:55:00,4
97,2014-07-01 08:00:00,0
98,2014-07-01 08:05:00,0
99,2014-07-01 08:10:00,0
100,2014-07-01 08:15:00,7
101,2014-07-01 08:20:00,0
102,2014-07-01 08:25:00,6
103,2014-07-01 08:30:00,2
104,2014-07-01 08:35:00,4
105,2014-07-01 08:40:00,1
106,2014-07-01 08:45:00,11
107,2014-07-01 08:50:00,0
108,2014-07-01 08:55:00,4
109,2014-07-01 09:00:00,5
110,2014-07-01 09:05:00,12
111,2014-07-01 09:10:00,7
112,2014-07-01 09:15:00,4
113,2014-07-01 09:20:00,1
114,2014-07-01 09:25:00,33
115,2014-07-01 09:30:00,15
116,2014-07-01 09:35:00,4
117,2014-07-01 09:40:00,1
118,2014-07-01 09:45:00,8
119,2014-07-01 09:50:00,0
120,2014-07-01 09:55:00,4
121,2014-07-01 10:00:00,0
122,2014-07-01 10:05:00,1
123,2014-07-01 10:10:00,4
124,2014-07-01 10:15:00,1
125,2014-07-01 10:20:00,33
126,2014-07-01 10:25:00,4
127,2014-07-01 10:30:00,4
128,2014-07-01 10:35:00,3
129,2014-07-01 10:40:00,0
130,2014-07-01 10:45:00,0
131,2014-07-01 10:50:00,8
132,2014-07-01 10:55:00,0
133,2014-07-01 11:00:00,6
134,2014-07-01 11:05:00,1
135,2014-07-01 11:10:00,0
136,2014-07-01 11:15:00,0
137,2014-07-01 11:20:00,5
138,2014-07-01 11:25:00,20
139,2014-07-01 11:30:00,0
140,2014-07-01 11:35:00,0
141,2014-07-01 11:40:00,2
142,2014-07-01 11:45:00,5
143,2014-07-01 11:50:00,11
144,2014-07-01 11:55:00,10
145,2014-07-01 12:00:00,7
146,2014-07-01 12:05:00,7
147,2014-07-01 12:10:00,4
