"Index","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
2016-07-11 00:00:00,0,14,3,8,1,1,0,4,1,1,34,0,0,0,0,0,23,3,0,1,8,1,6,9,6,10,6,27,22,22,0
2016-07-11 00:05:00,0,27,8,0,0,7,0,0,3,3,31,7,0,0,0,0,12,2,0,1,11,0,6,26,12,3,22,16,20,19,0
2016-07-11 00:10:00,0,3,4,0,2,11,0,0,11,0,33,0,0,0,0,20,0,0,0,0,0,0,12,20,12,17,14,14,43,23,0
2016-07-11 00:15:00,0,0,5,0,5,0,0,8,0,2,32,2,0,0,0,22,0,0,0,4,9,0,0,8,7,7,3,13,31,39,0
2016-07-11 00:20:00,0,0,1,0,3,4,0,16,2,0,34,4,0,0,0,0,0,0,0,8,10,4,0,8,4,15,6,15,32,19,0
2016-07-11 00:25:00,0,7,1,0,3,0,0,0,0,8,32,4,1,0,0,0,0,3,0,0,0,6,0,7,9,6,5,8,17,19,0
2016-07-11 00:30:00,0,43,15,0,2,0,0,0,3,0,32,1,0,0,0,0,4,4,3,4,5,6,0,0,1,15,25,11,26,31,0
2016-07-11 00:35:00,0,0,0,19,8,0,0,12,3,3,46,18,2,0,1,15,0,0,0,0,9,1,20,10,3,8,13,4,17,27,0
2016-07-11 00:40:00,0,0,7,3,1,0,3,5,6,0,31,0,0,1,0,1,5,0,5,0,0,6,10,6,2,10,17,19,56,25,0
2016-07-11 00:45:00,0,18,1,0,1,0,0,6,8,5,33,0,3,3,1,0,2,0,0,6,3,1,2,30,8,14,19,41,26,13,0
2016-07-11 00:50:00,2,7,4,0,1,2,5,0,0,7,29,3,0,0,1,0,3,1,2,0,0,3,3,2,13,21,14,47,17,24,0
2016-07-11 00:55:00,0,0,0,1,5,0,8,0,0,0,35,0,0,3,3,0,0,18,2,0,0,1,2,0,0,9,10,12,19,10,0
2016-07-11 01:00:00,0,1,0,11,7,0,1,1,0,0,32,0,10,0,0,0,6,1,4,0,0,1,0,0,10,14,3,37,18,22,0
2016-07-11 01:05:00,10,0,0,1,5,0,0,0,0,0,32,0,0,0,1,4,0,0,16,3,0,0,6,2,3,11,10,7,73,10,6
2016-07-11 01:10:00,29,0,0,1,1,0,0,0,0,0,37,0,0,11,2,1,0,0,2,0,0,15,1,2,2,3,5,5,22,16,3
2016-07-11 01:15:00,3,0,0,0,0,0,1,3,0,0,44,3,0,4,1,0,0,1,0,0,1,2,0,0,15,11,0,18,30,7,17
2016-07-11 01:20:00,0,8,10,6,0,0,0,0,0,0,32,15,2,0,1,0,4,4,0,0,0,0,6,2,7,6,3,5,13,13,19
2016-07-11 01:25:00,0,0,4,0,10,0,0,0,0,0,44,1,3,0,7,4,7,0,0,0,0,3,0,0,4,4,6,1,20,12,12
2016-07-11 01:30:00,0,0,5,0,0,0,0,0,0,0,30,1,0,3,0,1,10,0,0,0,0,0,0,0,8,0,13,5,11,5,12
2016-07-11 01:35:00,0,4,6,2,0,5,3,1,0,9,31,0,2,13,0,3,0,0,0,0,0,0,2,0,0,2,5,6,11,23,14
2016-07-11 01:40:00,0,3,6,0,4,0,0,1,0,0,33,0,3,8,0,1,2,0,0,4,3,0,0,0,13,3,2,10,7,25,31
2016-07-11 01:45:00,0,0,3,0,0,0,0,0,0,0,33,12,9,0,0,1,7,0,0,0,4,0,0,3,5,4,21,7,10,6,15
2016-07-11 01:50:00,0,1,0,2,0,0,0,0,0,0,9,3,7,0,0,0,2,0,5,0,0,0,0,11,8,5,9,12,5,6,11
2016-07-11 01:55:00,0,0,0,37,6,0,0,0,0,0,0,2,5,0,0,0,4,2,0,0,0,0,0,7,4,5,5,0,7,13,9
2016-07-11 02:00:00,0,0,0,1,0,10,0,0,0,0,0,0,0,4,0,0,0,4,0,0,2,0,4,0,5,4,3,6,15,8,23
2016-07-11 02:05:00,11,5,0,0,0,0,0,0,11,0,0,0,0,7,3,0,0,0,0,0,0,0,0,2,12,4,13,14,3,13,34
2016-07-11 02:10:00,0,0,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,6,0,5,5,6,15,5
2016-07-11 02:15:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,15,6,4,28,9
2016-07-11 02:20:00,5,1,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,8,11,17,27
2016-07-11 02:25:00,0,0,0,3,0,0,0,0,0,2,9,20,0,0,0,0,0,4,3,0,3,5,1,0,1,1,28,7,7,9,14
2016-07-11 02:30:00,0,0,0,3,3,0,0,0,0,9,0,9,0,0,0,2,4,7,0,0,0,1,0,7,0,0,11,0,17,4,14
2016-07-11 02:35:00,1,0,0,0,0,0,0,0,0,1,30,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,1,1,8,13,31
2016-07-11 02:40:00,0,0,0,8,0,0,5,0,0,5,34,0,0,0,0,0,0,0,0,6,0,26,1,0,0,0,0,1,9,11,10
2016-07-11 02:45:00,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,5,0,0,8,0,3,0,1,0,6,6,0,9,9,8,14
2016-07-11 02:50:00,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,23,0,9,13,6,8,3,13,15
2016-07-11 02:55:00,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,3,16,0,9,1,7,1,13,8,11
2016-07-11 03:00:00,0,0,0,0,0,1,0,6,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,3,8,9
2016-07-11 03:05:00,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,11,0,4,15,4
2016-07-11 03:10:00,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,6,0,0,0,2,29,5,4
2016-07-11 03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,23,0,0,0,0,3,48,3,14
2016-07-11 03:20:00,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,4,0,23,0,10,6,1,0,32,1,22
2016-07-11 03:25:00,0,0,0,0,14,0,0,0,0,0,36,0,4,0,0,0,0,0,0,1,0,0,15,0,0,1,0,0,14,24,9
2016-07-11 03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,7,20
2016-07-11 03:35:00,0,0,0,7,0,0,0,0,0,6,0,0,4,0,0,0,0,7,0,0,0,0,0,1,2,0,0,3,1,9,26
2016-07-11 03:40:00,0,0,0,7,7,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,2,9,15
2016-07-11 03:45:00,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,5,4,2,0,0,6,0,0,2,1,1,4,19
2016-07-11 03:50:00,0,0,0,0,3,0,0,0,3,3,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,21
2016-07-11 03:55:00,0,0,8,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,7,0,0,0,1,0,4,0,0,1,3,5,7
2016-07-11 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,3,0,0,4,2,0
2016-07-11 04:05:00,0,2,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,9,1,3,0,1,0,6,0,0,0,0,0,0,1
2016-07-11 04:10:00,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,5
2016-07-11 04:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
2016-07-11 04:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,1,0
2016-07-11 04:25:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,6
2016-07-11 04:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,1,0,1,0,0,0,1,1
2016-07-11 04:35:00,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,4,15,0
2016-07-11 04:40:00,0,0,0,0,0,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2016-07-11 04:45:00,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0
2016-07-11 04:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,2,2,3,0,0,0,0,2,0
2016-07-11 04:55:00,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,2,4,2,0,8,0,8,0
2016-07-11 05:00:00,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,4,11,0,2
2016-07-11 05:05:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,3,2,3,0,0,0,2,7,1,0
2016-07-11 05:10:00,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,6,9,0,9,5,0,0,0
2016-07-11 05:15:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,6,7,0,3,0
2016-07-11 05:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,1,6,2,5
2016-07-11 05:25:00,11,0,0,0,0,0,8,6,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,2,6,0,2,3
2016-07-11 05:30:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,6,13,0,0
2016-07-11 05:35:00,6,6,0,1,0,1,0,0,0,24,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0
2016-07-11 05:40:00,0,0,0,0,0,0,0,6,0,28,0,0,3,0,0,0,14,2,0,0,0,16,0,1,4,0,1,0,1,2,0
2016-07-11 05:45:00,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,12,0,0,0,0,0,0,0,0,0,1
2016-07-11 05:50:00,0,0,0,0,0,0,0,4,0,1,6,2,0,3,0,0,4,0,0,0,1,25,0,0,0,2,0,0,2,7,0
2016-07-11 05:55:00,1,0,0,0,0,0,0,4,0,0,0,1,0,3,0,0,5,2,0,0,0,4,0,2,0,0,0,0,10,35,0
2016-07-11 06:00:00,0,1,0,2,0,0,0,0,0,5,0,0,0,0,2,0,0,0,3,0,1,3,0,1,0,0,0,0,0,7,10
2016-07-11 06:05:00,0,0,0,0,1,0,0,0,0,6,0,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,2,3
2016-07-11 06:10:00,0,0,0,0,0,0,0,0,3,3,3,0,1,0,0,0,0,0,0,0,3,6,0,0,0,4,2,0,1,13,0
2016-07-11 06:15:00,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,5,3,4,2,9,14
2016-07-11 06:20:00,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,2,3,0,0,0,7,7,2,27
2016-07-11 06:25:00,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,9,7,0,20
2016-07-11 06:30:00,4,0,2,0,1,0,0,0,3,2,0,0,0,0,0,0,6,0,0,0,3,0,9,1,1,5,0,4,4,6,16
2016-07-11 06:35:00,0,0,0,4,0,6,0,0,2,5,4,4,0,2,0,0,3,1,0,0,2,0,1,12,0,7,0,0,12,11,24
2016-07-11 06:40:00,0,6,0,1,0,0,0,0,0,4,1,0,0,7,0,0,3,6,6,1,1,0,18,6,3,0,0,15,35,5,6
2016-07-11 06:45:00,0,0,0,8,3,6,12,0,0,0,0,14,3,0,0,0,0,1,2,0,2,0,8,4,5,1,11,33,19,0,16
2016-07-11 06:50:00,0,0,0,0,0,0,5,0,0,0,6,6,11,0,0,0,1,0,4,0,0,8,0,5,5,19,8,1,14,36,19
2016-07-11 06:55:00,0,0,0,7,13,5,3,0,0,1,6,0,0,0,3,0,0,0,33,6,1,0,4,2,3,5,18,4,6,35,8
2016-07-11 07:00:00,0,0,0,1,6,1,0,0,0,1,3,0,2,0,9,4,3,3,3,3,1,0,0,4,8,0,21,17,15,45,24
2016-07-11 07:05:00,3,4,0,1,0,0,6,0,1,4,0,0,3,4,1,9,0,1,11,1,0,5,0,6,2,0,5,0,10,1,17
2016-07-11 07:10:00,0,4,4,6,2,3,0,0,0,0,0,0,0,2,5,3,0,0,3,0,0,0,0,3,6,4,0,1,12,11,16
2016-07-11 07:15:00,4,0,8,0,0,0,1,0,0,2,10,0,0,3,0,2,0,3,4,0,0,0,0,9,11,8,26,6,14,5,4
2016-07-11 07:20:00,3,0,8,4,2,0,0,0,2,7,0,3,0,13,3,9,3,4,9,0,2,16,8,9,38,4,3,21,15,2,42
2016-07-11 07:25:00,0,0,6,2,2,0,0,0,18,3,12,0,4,13,0,13,0,4,1,0,4,0,0,9,6,0,4,39,5,36,29
2016-07-11 07:30:00,3,0,4,3,0,0,8,5,8,0,0,0,4,6,1,12,4,11,0,0,0,4,3,11,15,6,18,34,23,32,17
2016-07-11 07:35:00,0,7,6,1,0,0,4,21,12,9,0,1,6,3,20,4,3,10,0,0,6,3,3,11,0,11,31,30,25,30,8
